
Download Data - raw
Regional - CRCM4.2.3 (Run 1) - SR-A2
Air Temperature - Mean Min (2m) (degC)
Area: 46.48N 59.85W to 51.69N 51.41W
Baseline Years: 1971 - 2000

lat, lon, year, january, february, march, april, may, june, july, august, september, october, november, december, winter, spring, summer, autumn, annual
46.5, -60, 1998, -2.01577, -5.02414, -2.66836, -0.690413, 4.00185, 6.17253, 9.03935, 10.5914, 9.96974, 8.41378, 5.7224, 2.93, -1.36997, 0.21436, 8.60108, 8.03531, 3.87019
46.5, -60, 1999, -3.44866, -4.87213, -2.83886, 0.166578, 3.32028, 7.10572, 9.74706, 10.7377, 11.2108, 8.36929, 5.45215, 1.46262, -2.28606, 0.215999, 9.19683, 8.34409, 3.86772
46.5, -60, 2000, -1.95598, -2.22771, -0.983322, 1.82953, 5.14803, 7.50486, 9.45202, 10.4718, 10.1102, 7.90876, 5.38041, 1.69483, -0.829621, 1.99808, 9.14291, 7.7998, 4.52779
47, -60, 1971, -2.1052, -4.94949, -3.33521, -0.305731, 3.42313, 5.69351, 8.89205, 10.2306, 10.1034, 8.33369, 4.61798, 1.61403, -1.81355, -0.0726055, 8.27205, 7.68502, 3.51773
47, -60, 1972, -1.3269, -2.9178, -2.16182, -1.09903, 1.93862, 5.94176, 8.40584, 9.84409, 9.64324, 7.86929, 5.14964, 0.951175, -1.09784, -0.440741, 8.0639, 7.55406, 3.51984
47, -60, 1973, -0.603637, -4.35633, -3.27276, -1.01252, 1.96522, 4.79923, 7.8649, 9.68041, 9.63462, 7.57224, 4.47312, -0.368027, -1.776, -0.773355, 7.44818, 7.22666, 3.03137
47, -60, 1974, -3.45292, -3.35584, -3.69345, -1.37559, 1.34716, 4.67157, 8.49605, 9.83389, 9.76945, 7.6895, 5.1153, 2.67418, -1.37819, -1.24063, 7.66717, 7.52475, 3.14327
47, -60, 1975, -1.53009, -4.23899, -2.79819, -0.40876, 2.69088, 5.67821, 8.56865, 9.67515, 10.1442, 8.67873, 6.3435, 3.95665, -0.604143, -0.172024, 7.974, 8.38883, 3.89667
47, -60, 1976, -0.517387, -2.74331, -2.9744, -0.820852, 1.80894, 5.70152, 8.42588, 10.1682, 10.0692, 7.77625, 4.49641, 1.77775, -0.494315, -0.662103, 8.09855, 7.44728, 3.59735
47, -60, 1977, -2.55771, -4.37279, -4.56235, -2.40904, 2.20827, 4.60692, 7.83421, 9.24112, 9.9936, 8.27294, 6.04748, 2.30368, -1.54227, -1.58771, 7.22742, 8.10468, 3.05053
47, -60, 1978, -1.70412, -1.43148, -0.656799, -0.42453, 2.1183, 5.46626, 8.92444, 9.86077, 9.72192, 7.589, 5.85287, 2.4849, -0.216898, 0.345658, 8.08383, 7.72126, 3.98346
47, -60, 1979, -1.2782, -2.30778, -1.70776, 0.0443023, 3.0469, 5.82519, 9.19667, 9.79072, 9.6766, 9.23373, 5.14227, 1.74495, -0.613676, 0.461147, 8.27086, 8.01753, 4.03397
47, -60, 1980, -1.76572, -5.14792, -3.55812, -0.762329, 3.42835, 6.69745, 9.84818, 10.7423, 10.2044, 8.3201, 5.09255, 2.5711, -1.44751, -0.297365, 9.09599, 7.87236, 3.80587
47, -60, 1981, 0.143341, -2.5973, -1.34326, 0.765978, 3.30901, 5.37636, 8.52741, 9.6615, 10.7722, 8.84358, 4.79096, 1.57129, -0.294222, 0.910578, 7.85509, 8.13557, 4.15175
